search_time,total_count
2020-02-11 20:02,0
2020-02-11 20:27,0
2020-02-11 21:06,0
2020-02-11 22:07,0
2020-02-11 23:06,0
2020-02-12 00:08,0
2020-02-12 01:06,0
2020-02-12 02:07,0
2020-02-12 03:06,0
2020-02-12 04:07,0
2020-02-12 05:06,0
2020-02-12 07:16,0
2020-02-12 07:25,0
2020-02-12 08:06,0
2020-02-12 09:06,0
2020-02-12 10:06,0
2020-02-12 11:06,0
2020-02-12 12:07,0
2020-02-12 13:06,0
2020-02-12 14:06,0
2020-02-12 15:06,0
2020-02-12 16:06,0
2020-02-12 17:06,0
2020-02-12 18:06,0
2020-02-12 19:06,1
2020-02-12 20:07,1
2020-02-12 21:06,1
2020-02-12 22:06,1
2020-02-12 23:06,1
2020-02-13 00:08,1
2020-02-13 01:06,1
2020-02-13 02:07,1
2020-02-13 03:07,1
2020-02-13 04:07,1
2020-02-13 05:06,1
2020-02-13 06:08,0
2020-02-13 07:06,0
